Date,Phone,Store,Collected,Redemeed
03/01/2020,60128846458,Alpha Sdn Bhd,121,
05/01/2020,60121903950,Foxtrot Sdn Bhd,69,
05/01/2020,60121224273,Foxtrot Sdn Bhd,157,
05/01/2020,60128542161,Charlie Sdn Bhd,161,
06/01/2020,60122691965,Alpha Sdn Bhd,71,
09/01/2020,60126120223,Alpha Sdn Bhd,174,
12/01/2020,60127031404,Alpha Sdn Bhd,111,
13/01/2020,60125273425,Echo Sdn Bhd,31,
15/01/2020,60121224273,Charlie Sdn Bhd,47,
15/01/2020,60125273425,Alpha Sdn Bhd,162,
17/01/2020,60121224273,Foxtrot Sdn Bhd,121,
19/01/2020,60129546732,Echo Sdn Bhd,49,
20/01/2020,60121224273,Foxtrot Sdn Bhd,153,
22/01/2020,60128598509,Delta Sdn Bhd,166,
22/01/2020,60128846458,Beta Sdn Bhd,189,
22/01/2020,60121903950,Foxtrot Sdn Bhd,194,
26/01/2020,60129546732,Foxtrot Sdn Bhd,55,
27/01/2020,60125273425,Charlie Sdn Bhd,198,
28/01/2020,60121224273,Alpha Sdn Bhd,186,
29/01/2020,60122911039,Beta Sdn Bhd,33,
31/01/2020,60126431312,Beta Sdn Bhd,58,
02/02/2020,60126431312,Gamma Sdn Bhd,156,
03/02/2020,60122691965,Gamma Sdn Bhd,103,
04/02/2020,60126120223,Echo Sdn Bhd,136,
06/02/2020,60121903950,Echo Sdn Bhd,116,
08/02/2020,60124596256,Gamma Sdn Bhd,116,
08/02/2020,60129546732,Echo Sdn Bhd,143,
10/02/2020,60127031404,Delta Sdn Bhd,169,
11/02/2020,60124596256,Delta Sdn Bhd,83,
12/02/2020,60121903950,Delta Sdn Bhd,50,
13/02/2020,60128846458,Charlie Sdn Bhd,154,
14/02/2020,60127031404,Alpha Sdn Bhd,177,
15/02/2020,60121903950,Gamma Sdn Bhd,53,
17/02/2020,60121903950,Gamma Sdn Bhd,62,
18/02/2020,60128846458,Alpha Sdn Bhd,98,
19/02/2020,60127031404,Beta Sdn Bhd,32,
20/02/2020,60128598509,Echo Sdn Bhd,161,
20/02/2020,60121224273,Gamma Sdn Bhd,189,
21/02/2020,60122691965,Gamma Sdn Bhd,178,
22/02/2020,60128542161,Charlie Sdn Bhd,114,
23/02/2020,60128542161,Alpha Sdn Bhd,39,
25/02/2020,60121224273,Foxtrot Sdn Bhd,37,
27/02/2020,60121903950,Alpha Sdn Bhd,182,
